muestra	archivo	subtipo	segmento	header_original	longitud_total	N_total	primera_base_real	ultima_base_real	longitud_cubierta	cobertura_pct_aprox	N_internas	porcentaje_N_internas	calidad	utilizable
IonXpress_065_232573624	IonXpress_065_232573624.consensus.fasta	H1N1	HA	A_HA_H1	1752	70	18	1699	1682	93.44	0	0.0	Buena	Sí
IonXpress_065_232573624	IonXpress_065_232573624.consensus.fasta	H1N1	NA	A_NA_N1	1433	55	27	1404	1378	88.9	0	0.0	Aceptable	Sí
IonXpress_065_232580678	IonXpress_065_232580678.consensus.fasta	H1N1	HA	A_HA_H1	1752	1752			0	0	0	100	Excluir	No
IonXpress_065_232580678	IonXpress_065_232580678.consensus.fasta	H1N1	NA	A_NA_N1	1433	1433			0	0	0	100	Excluir	No
IonXpress_065_232589074	IonXpress_065_232589074.consensus.fasta	H1N1	HA	A_HA_H1	1752	109	57	1699	1643	91.28	0	0.0	Buena	Sí
IonXpress_065_232589074	IonXpress_065_232589074.consensus.fasta	H1N1	NA	A_NA_N1	1433	136	27	1401	1375	88.71	78	5.67	Dudosa	Sí
IonXpress_065_232600010	IonXpress_065_232600010.consensus.fasta	H3N2	HA	A_HA_H3	1718	336	207	1689	1483	82.39	101	6.81	Dudosa	Sí
IonXpress_065_232600010	IonXpress_065_232600010.consensus.fasta	H3N2	NA	A_NA_N2	1439	222	154	1385	1232	79.48	15	1.22	Dudosa	Sí
IonXpress_066_232565255	IonXpress_066_232565255.consensus.fasta	H3N2	HA	A_HA_H3	1718	1264	898	1369	472	26.22	18	3.81	Excluir	No
IonXpress_066_232565255	IonXpress_066_232565255.consensus.fasta	H3N2	NA	A_NA_N2	1439	1181	167	738	572	36.9	314	54.9	Excluir	No
IonXpress_066_232574725	IonXpress_066_232574725.consensus.fasta	H1N1	HA	A_HA_H1	1752	164	79	1689	1611	89.5	23	1.43	Aceptable	Sí
IonXpress_066_232574725	IonXpress_066_232574725.consensus.fasta	H1N1	NA	A_NA_N1	1433	60	29	1401	1373	88.58	0	0.0	Aceptable	Sí
IonXpress_066_232580679	IonXpress_066_232580679.consensus.fasta	H1N1	HA	A_HA_H1	1752	1725	874	900	27	1.5	0	0.0	Excluir	No
IonXpress_066_232580679	IonXpress_066_232580679.consensus.fasta	H1N1	NA	A_NA_N1	1433	1234	1014	1212	199	12.84	0	0.0	Excluir	No
IonXpress_066_232583599	IonXpress_066_232583599.consensus.fasta	H3N2	HA	A_HA_H3	1718	1180	822	1369	548	30.44	10	1.82	Excluir	No
IonXpress_066_232583599	IonXpress_066_232583599.consensus.fasta	H3N2	NA	A_NA_N2	1439	928	157	824	668	43.1	157	23.5	Excluir	No
IonXpress_066_232589028	IonXpress_066_232589028.consensus.fasta	H1N1	HA	A_HA_H1	1752	359	267	1688	1422	79.0	29	2.04	Dudosa	Sí
IonXpress_066_232589028	IonXpress_066_232589028.consensus.fasta	H1N1	NA	A_NA_N1	1433	196	39	1399	1361	87.81	124	9.11	Dudosa	Sí
IonXpress_066_232590665	IonXpress_066_232590665.consensus.fasta	H3N2	HA	A_HA_H3	1718	1264	898	1369	472	26.22	18	3.81	Excluir	No
IonXpress_066_232590665	IonXpress_066_232590665.consensus.fasta	H3N2	NA	A_NA_N2	1439	1181	167	738	572	36.9	314	54.9	Excluir	No
IonXpress_066_232601023	IonXpress_066_232601023.consensus.fasta	H1N1	HA	A_HA_H1	1753	837	338	1357	1020	56.67	104	10.2	Excluir	No
IonXpress_066_232601023	IonXpress_066_232601023.consensus.fasta	H1N1	NA	A_NA_N1	1433	436	312	1399	1088	70.19	91	8.36	Dudosa	Sí
IonXpress_067_232566158	IonXpress_067_232566158.consensus.fasta	H3N2	HA	A_HA_H3	1718	393	276	1689	1414	78.56	89	6.29	Dudosa	Sí
IonXpress_067_232566158	IonXpress_067_232566158.consensus.fasta	H3N2	NA	A_NA_N2	1439	117	48	1385	1338	86.32	16	1.2	Aceptable	Sí
IonXpress_067_232574772	IonXpress_067_232574772.consensus.fasta	H1N1	HA	A_HA_H1	1752	112	51	1690	1640	91.11	0	0.0	Buena	Sí
IonXpress_067_232574772	IonXpress_067_232574772.consensus.fasta	H1N1	NA	A_NA_N1	1433	51	21	1402	1382	89.16	0	0.0	Aceptable	Sí
IonXpress_067_232580680	IonXpress_067_232580680.consensus.fasta	H1N1	HA	A_HA_H1	1752	1684	757	899	143	7.94	75	52.45	Excluir	No
IonXpress_067_232580680	IonXpress_067_232580680.consensus.fasta	H1N1	NA	A_NA_N1	1433	1433			0	0	0	100	Excluir	No
IonXpress_067_232583600	IonXpress_067_232583600.consensus.fasta	H3N2	HA	A_HA_H3	1718	1247	886	1370	485	26.94	14	2.89	Excluir	No
IonXpress_067_232583600	IonXpress_067_232583600.consensus.fasta	H3N2	NA	A_NA_N2	1439	768	154	824	671	43.29	0	0.0	Excluir	No
IonXpress_067_232589392	IonXpress_067_232589392.consensus.fasta	H1N1	HA	A_HA_H1	1752	191	110	1694	1585	88.06	24	1.51	Aceptable	Sí
IonXpress_067_232589392	IonXpress_067_232589392.consensus.fasta	H1N1	NA	A_NA_N1	1433	153	29	1406	1378	88.9	98	7.11	Dudosa	Sí
