muestra	archivo	subtipo	numero_segmentos_detectados	segmentos_presentes	segmentos_ausentes	longitud_total	N_total	porcentaje_N_total	PB2_presente	PB2_longitud	PB2_N	PB2_porcentaje_N	PB2_estado	PB1_presente	PB1_longitud	PB1_N	PB1_porcentaje_N	PB1_estado	PA_presente	PA_longitud	PA_N	PA_porcentaje_N	PA_estado	HA_presente	HA_longitud	HA_N	HA_porcentaje_N	HA_estado	NP_presente	NP_longitud	NP_N	NP_porcentaje_N	NP_estado	NA_presente	NA_longitud	NA_N	NA_porcentaje_N	NA_estado	M_presente	M_longitud	M_N	M_porcentaje_N	M_estado	NS_presente	NS_longitud	NS_N	NS_porcentaje_N	NS_estado	estado_general
IonXpress_065_232573624	IonXpress_065_232573624.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13231	340	2.57	Sí	2280	55	2.41	Correcto	Sí	2273	24	1.06	Correcto	Sí	2151	39	1.81	Correcto	Sí	1752	70	4.0	Correcto	Sí	1497	15	1.0	Correcto	Sí	1433	55	3.84	Correcto	Sí	982	33	3.36	Correcto	Sí	863	49	5.68	Revisar por N	Apta para análisis HA/NA
IonXpress_065_232580678	IonXpress_065_232580678.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	12905	97.53	Sí	2280	2258	99.04	Muchos N	Sí	2274	2274	100.0	Muchos N	Sí	2151	2011	93.49	Muchos N	Sí	1752	1752	100.0	Muchos N	Sí	1497	1332	88.98	Muchos N	Sí	1433	1433	100.0	Muchos N	Sí	982	982	100.0	Muchos N	Sí	863	863	100.0	Muchos N	Revisar HA/NA
IonXpress_065_232589074	IonXpress_065_232589074.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	454	3.43	Sí	2280	62	2.72	Correcto	Sí	2274	23	1.01	Correcto	Sí	2151	39	1.81	Correcto	Sí	1752	109	6.22	Revisar por N	Sí	1497	17	1.14	Correcto	Sí	1433	136	9.49	Revisar por N	Sí	982	18	1.83	Correcto	Sí	863	50	5.79	Revisar por N	Revisar HA/NA
IonXpress_065_232600010	IonXpress_065_232600010.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13204	813	6.16	Sí	2280	64	2.81	Correcto	Sí	2274	27	1.19	Correcto	Sí	2151	57	2.65	Correcto	Sí	1718	336	19.56	Muchos N	Sí	1497	21	1.4	Correcto	Sí	1439	222	15.43	Muchos N	Sí	982	22	2.24	Correcto	Sí	863	64	7.42	Revisar por N	Revisar HA/NA
IonXpress_066_232565255	IonXpress_066_232565255.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13206	4538	34.36	Sí	2280	644	28.25	Muchos N	Sí	2274	337	14.82	Muchos N	Sí	2152	307	14.27	Muchos N	Sí	1718	1264	73.57	Muchos N	Sí	1497	435	29.06	Muchos N	Sí	1439	1181	82.07	Muchos N	Sí	983	36	3.66	Correcto	Sí	863	334	38.7	Muchos N	Revisar HA/NA
IonXpress_066_232574725	IonXpress_066_232574725.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13230	592	4.47	Sí	2280	70	3.07	Correcto	Sí	2273	157	6.91	Revisar por N	Sí	2151	44	2.05	Correcto	Sí	1752	164	9.36	Revisar por N	Sí	1497	20	1.34	Correcto	Sí	1433	60	4.19	Correcto	Sí	982	26	2.65	Correcto	Sí	862	51	5.92	Revisar por N	Revisar HA/NA
IonXpress_066_232580679	IonXpress_066_232580679.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	10142	76.65	Sí	2280	1542	67.63	Muchos N	Sí	2274	1856	81.62	Muchos N	Sí	2151	1579	73.41	Muchos N	Sí	1752	1725	98.46	Muchos N	Sí	1497	1040	69.47	Muchos N	Sí	1433	1234	86.11	Muchos N	Sí	982	584	59.47	Muchos N	Sí	863	582	67.44	Muchos N	Revisar HA/NA
IonXpress_066_232583599	IonXpress_066_232583599.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13204	4743	35.92	Sí	2279	672	29.49	Muchos N	Sí	2274	543	23.88	Muchos N	Sí	2151	467	21.71	Muchos N	Sí	1718	1180	68.68	Muchos N	Sí	1497	224	14.96	Muchos N	Sí	1439	928	64.49	Muchos N	Sí	983	52	5.29	Revisar por N	Sí	863	677	78.45	Muchos N	Revisar HA/NA
IonXpress_066_232589028	IonXpress_066_232589028.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13233	2050	15.49	Sí	2280	626	27.46	Muchos N	Sí	2275	146	6.42	Revisar por N	Sí	2151	130	6.04	Revisar por N	Sí	1752	359	20.49	Muchos N	Sí	1497	19	1.27	Correcto	Sí	1433	196	13.68	Muchos N	Sí	982	31	3.16	Correcto	Sí	863	543	62.92	Muchos N	Revisar HA/NA
IonXpress_066_232590665	IonXpress_066_232590665.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13206	4538	34.36	Sí	2280	644	28.25	Muchos N	Sí	2274	337	14.82	Muchos N	Sí	2152	307	14.27	Muchos N	Sí	1718	1264	73.57	Muchos N	Sí	1497	435	29.06	Muchos N	Sí	1439	1181	82.07	Muchos N	Sí	983	36	3.66	Correcto	Sí	863	334	38.7	Muchos N	Revisar HA/NA
IonXpress_066_232601023	IonXpress_066_232601023.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13233	2866	21.66	Sí	2280	463	20.31	Muchos N	Sí	2274	300	13.19	Muchos N	Sí	2151	66	3.07	Correcto	Sí	1753	837	47.75	Muchos N	Sí	1497	198	13.23	Muchos N	Sí	1433	436	30.43	Muchos N	Sí	982	33	3.36	Correcto	Sí	863	533	61.76	Muchos N	Revisar HA/NA
IonXpress_067_232566158	IonXpress_067_232566158.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13204	1775	13.44	Sí	2280	800	35.09	Muchos N	Sí	2274	27	1.19	Correcto	Sí	2151	71	3.3	Correcto	Sí	1718	393	22.88	Muchos N	Sí	1497	21	1.4	Correcto	Sí	1439	117	8.13	Revisar por N	Sí	982	25	2.55	Correcto	Sí	863	321	37.2	Muchos N	Revisar HA/NA
IonXpress_067_232574772	IonXpress_067_232574772.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13231	436	3.3	Sí	2280	64	2.81	Correcto	Sí	2274	71	3.12	Correcto	Sí	2151	44	2.05	Correcto	Sí	1752	112	6.39	Revisar por N	Sí	1497	19	1.27	Correcto	Sí	1433	51	3.56	Correcto	Sí	982	24	2.44	Correcto	Sí	862	51	5.92	Revisar por N	Revisar HA/NA
IonXpress_067_232580680	IonXpress_067_232580680.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	12636	95.5	Sí	2280	2280	100.0	Muchos N	Sí	2274	2056	90.41	Muchos N	Sí	2151	2011	93.49	Muchos N	Sí	1752	1684	96.12	Muchos N	Sí	1497	1337	89.31	Muchos N	Sí	1433	1433	100.0	Muchos N	Sí	982	972	98.98	Muchos N	Sí	863	863	100.0	Muchos N	Revisar HA/NA
IonXpress_067_232583600	IonXpress_067_232583600.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13205	4402	33.34	Sí	2280	1196	52.46	Muchos N	Sí	2274	286	12.58	Muchos N	Sí	2152	204	9.48	Revisar por N	Sí	1718	1247	72.58	Muchos N	Sí	1497	197	13.16	Muchos N	Sí	1439	768	53.37	Muchos N	Sí	982	52	5.3	Revisar por N	Sí	863	452	52.38	Muchos N	Revisar HA/NA
